historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
"Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial; APOIO 01: 1 - Em 29 de dezembro de 2021, quarta-feira, a equipe TASA 2ª BRAVE realizará uma missão abastecimento ao N3 PR-DTG do GMG, em ARAXÁ/MG, conforme descrito abaixo: 1.1 - DATA: Data de Início: 29Nov21-Qua às 14h00min (Saída de UBERLANDIA para ARAXÁ); 2 - Distância entre Uberlândia e Araxá: 180km. 2.1 - Tempo de deslocamento na ida: 3 horas (mínimo) 3 - Viatura: UAA28771 (3.189 litros de QAV disponíveis) 4 - Militares da 2ª BRAVE empenhados: 125.816-9 2º Sgt PM EAF Ferreira Edson Alves Ferreira 133.590-0 3º Sgt PM FRO Fausto Fausto Rodrigues de Oliveira. APOIO 02: 1. DADOS DA DILIGÊNCIA 1.1 Descrição: A equipe TASA 3ª BRAVE do COMAVE realizará o abastecimento das aeronaves CitationVII PT-MGS e Dauphin N3 PR-DTG do GMG que estará cumprindo missão de trasladodo Exmo. Governador do Estado de Minas Gerais e comitiva. 1.2 Natureza da Diligência: ( x ) Operacional ( ) Administrativa 1.3 Local de Saída Montes Claros/MG 1.3.1 Local de Destino: Janaúba/MG, Mato Verde/MG e Salinas/MG 1.4 Período INÍCIO - DATA: 29/12/2021 HORA: 04:00 TÉRMINO: - DATA: 30/12/2021 HORA: 10:00 Equipe; 137337-2, Cb PM Givanildo de Jesus Aguiar, CPF: 034.902.226-79 148520-0, Cb PM Charles Pereira de Carvalho, CPF: 058.996.536-04";01:55:00;PT-MGS - PT-MGS;0002-2022;DTA;2021-12-29;ARAXA;MONTES CLAROS;Arlen de Paulo Santiago Filho;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
"Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial; APOIO 01: 1 - Em 29 de dezembro de 2021, quarta-feira, a equipe TASA 2ª BRAVE realizará uma missão abastecimento ao N3 PR-DTG do GMG, em ARAXÁ/MG, conforme descrito abaixo: 1.1 - DATA: Data de Início: 29Nov21-Qua às 14h00min (Saída de UBERLANDIA para ARAXÁ); 2 - Distância entre Uberlândia e Araxá: 180km. 2.1 - Tempo de deslocamento na ida: 3 horas (mínimo) 3 - Viatura: UAA28771 (3.189 litros de QAV disponíveis) 4 - Militares da 2ª BRAVE empenhados: 125.816-9 2º Sgt PM EAF Ferreira Edson Alves Ferreira 133.590-0 3º Sgt PM FRO Fausto Fausto Rodrigues de Oliveira. APOIO 02: 1. DADOS DA DILIGÊNCIA 1.1 Descrição: A equipe TASA 3ª BRAVE do COMAVE realizará o abastecimento das aeronaves CitationVII PT-MGS e Dauphin N3 PR-DTG do GMG que estará cumprindo missão de trasladodo Exmo. Governador do Estado de Minas Gerais e comitiva. 1.2 Natureza da Diligência: ( x ) Operacional ( ) Administrativa 1.3 Local de Saída Montes Claros/MG 1.3.1 Local de Destino: Janaúba/MG, Mato Verde/MG e Salinas/MG 1.4 Período INÍCIO - DATA: 29/12/2021 HORA: 04:00 TÉRMINO: - DATA: 30/12/2021 HORA: 10:00 Equipe; 137337-2, Cb PM Givanildo de Jesus Aguiar, CPF: 034.902.226-79 148520-0, Cb PM Charles Pereira de Carvalho, CPF: 058.996.536-04";01:55:00;PT-MGS - PT-MGS;0002-2022;DTA;2021-12-29;ARAXA;MONTES CLAROS;Gilberto Wagner Martins Pereira Antunes;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
"Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial; APOIO 01: 1 - Em 29 de dezembro de 2021, quarta-feira, a equipe TASA 2ª BRAVE realizará uma missão abastecimento ao N3 PR-DTG do GMG, em ARAXÁ/MG, conforme descrito abaixo: 1.1 - DATA: Data de Início: 29Nov21-Qua às 14h00min (Saída de UBERLANDIA para ARAXÁ); 2 - Distância entre Uberlândia e Araxá: 180km. 2.1 - Tempo de deslocamento na ida: 3 horas (mínimo) 3 - Viatura: UAA28771 (3.189 litros de QAV disponíveis) 4 - Militares da 2ª BRAVE empenhados: 125.816-9 2º Sgt PM EAF Ferreira Edson Alves Ferreira 133.590-0 3º Sgt PM FRO Fausto Fausto Rodrigues de Oliveira. APOIO 02: 1. DADOS DA DILIGÊNCIA 1.1 Descrição: A equipe TASA 3ª BRAVE do COMAVE realizará o abastecimento das aeronaves CitationVII PT-MGS e Dauphin N3 PR-DTG do GMG que estará cumprindo missão de trasladodo Exmo. Governador do Estado de Minas Gerais e comitiva. 1.2 Natureza da Diligência: ( x ) Operacional ( ) Administrativa 1.3 Local de Saída Montes Claros/MG 1.3.1 Local de Destino: Janaúba/MG, Mato Verde/MG e Salinas/MG 1.4 Período INÍCIO - DATA: 29/12/2021 HORA: 04:00 TÉRMINO: - DATA: 30/12/2021 HORA: 10:00 Equipe; 137337-2, Cb PM Givanildo de Jesus Aguiar, CPF: 034.902.226-79 148520-0, Cb PM Charles Pereira de Carvalho, CPF: 058.996.536-04";01:55:00;PT-MGS - PT-MGS;0002-2022;DTA;2021-12-29;ARAXA;MONTES CLAROS;José Reis Nogueira de Barros;Deputado Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial em Janaúba, Mato Verde, Rio Pardo de Minas, Salinas e Porteirinha.;00:59:00;PR-DTG - N3;0139-2021;DTA;2021-12-29;MONTES CLAROS;MATO VERDE;Marco Antônio Evangelista;Fotógrafo;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial em Janaúba, Mato Verde, Rio Pardo de Minas, Salinas e Porteirinha.;00:25:00;PR-DTG - N3;0140-2021;DTA;2021-12-29;MATO VERDE;RIO PARDO DE MINAS;Marco Antônio Evangelista;Fotógrafo;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial em Janaúba, Mato Verde, Rio Pardo de Minas, Salinas e Porteirinha.;00:29:00;PR-DTG - N3;0141-2021;DTA;2021-12-29;RIO PARDO DE MINAS;SALINAS;Marco Antônio Evangelista;Fotógrafo;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial em Janaúba, Mato Verde, Rio Pardo de Minas, Salinas e Porteirinha.;00:28:00;PR-DTG - N3;0142-2021;DTA;2021-12-29;SALINAS;PORTEIRINHA;Marco Antônio Evangelista;Fotógrafo;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial em Janaúba, Mato Verde, Rio Pardo de Minas, Salinas e Porteirinha.;00:16:00;PR-DTG - N3;0143-2021;DTA;2021-12-29;PORTEIRINHA;JANAUBA;Marco Antônio Evangelista;Fotógrafo;Secretaria de Estado de Comunicação Social
"Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial; APOIO 01: 1 - Em 29 de dezembro de 2021, quarta-feira, a equipe TASA 2ª BRAVE realizará uma missão abastecimento ao N3 PR-DTG do GMG, em ARAXÁ/MG, conforme descrito abaixo: 1.1 - DATA: Data de Início: 29Nov21-Qua às 14h00min (Saída de UBERLANDIA para ARAXÁ); 2 - Distância entre Uberlândia e Araxá: 180km. 2.1 - Tempo de deslocamento na ida: 3 horas (mínimo) 3 - Viatura: UAA28771 (3.189 litros de QAV disponíveis) 4 - Militares da 2ª BRAVE empenhados: 125.816-9 2º Sgt PM EAF Ferreira Edson Alves Ferreira 133.590-0 3º Sgt PM FRO Fausto Fausto Rodrigues de Oliveira. APOIO 02: 1. DADOS DA DILIGÊNCIA 1.1 Descrição: A equipe TASA 3ª BRAVE do COMAVE realizará o abastecimento das aeronaves CitationVII PT-MGS e Dauphin N3 PR-DTG do GMG que estará cumprindo missão de trasladodo Exmo. Governador do Estado de Minas Gerais e comitiva. 1.2 Natureza da Diligência: ( x ) Operacional ( ) Administrativa 1.3 Local de Saída Montes Claros/MG 1.3.1 Local de Destino: Janaúba/MG, Mato Verde/MG e Salinas/MG 1.4 Período INÍCIO - DATA: 29/12/2021 HORA: 04:00 TÉRMINO: - DATA: 30/12/2021 HORA: 10:00 Equipe; 137337-2, Cb PM Givanildo de Jesus Aguiar, CPF: 034.902.226-79 148520-0, Cb PM Charles Pereira de Carvalho, CPF: 058.996.536-04";01:05:00;PT-MGS - PT-MGS;0004-2022;DTA;2021-12-29;JANAUBA;ARAXA;Marcos Antonio Evangelista;Fotografo;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial; APOIO 01: 1 - Em 29 de dezembro de 2021, quarta-feira, a equipe TASA 2ª BRAVE realizará uma missão abastecimento ao N3 PR-DTG do GMG, em ARAXÁ/MG, conforme descrito abaixo: 1.1 - DATA: Data de Início: 29Nov21-Qua às 14h00min (Saída de UBERLANDIA para ARAXÁ); 2 - Distância entre Uberlândia e Araxá: 180km. 2.1 - Tempo de deslocamento na ida: 3 horas (mínimo) 3 - Viatura: UAA28771 (3.189 litros de QAV disponíveis) 4 - Militares da 2ª BRAVE empenhados: 125.816-9 2º Sgt PM EAF Ferreira Edson Alves Ferreira 133.590-0 3º Sgt PM FRO Fausto Fausto Rodrigues de Oliveira. APOIO 02: 1. DADOS DA DILIGÊNCIA 1.1 Descrição: A equipe TASA 3ª BRAVE do COMAVE realizará o abastecimento das aeronaves CitationVII PT-MGS e Dauphin N3 PR-DTG do GMG que estará cumprindo missão de trasladodo Exmo. Governador do Estado de Minas Gerais e comitiva. 1.2 Natureza da Diligência: ( x ) Operacional ( ) Administrativa 1.3 Local de Saída Montes Claros/MG 1.3.1 Local de Destino: Janaúba/MG, Mato Verde/MG e Salinas/MG 1.4 Período INÍCIO - DATA: 29/12/2021 HORA: 04:00 TÉRMINO: - DATA: 30/12/2021 HORA: 10:00 Equipe; 137337-2, Cb PM Givanildo de Jesus Aguiar, CPF: 034.902.226-79 148520-0, Cb PM Charles Pereira de Carvalho, CPF: 058.996.536-04";01:55:00;PT-MGS - PT-MGS;0002-2022;DTA;2021-12-29;ARAXA;MONTES CLAROS;Osvaldo de Souza Marques;Chefe;Gabinete Militar do Governador
Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial em Janaúba, Mato Verde, Rio Pardo de Minas, Salinas e Porteirinha.;00:59:00;PR-DTG - N3;0139-2021;DTA;2021-12-29;MONTES CLAROS;MATO VERDE;Osvaldo de Souza Marques;Chefe;Gabinete Militar do Governador
"Traslado do Exmo. Governador do Estado de Minas Gerais e comitiva para agenda oficial; APOIO 01: 1 - Em 29 de dezembro de 2021, quarta-feira, a equipe TASA 2ª BRAVE realizará uma missão abastecimento ao N3 PR-DTG do GMG, em ARAXÁ/MG, conforme descrito abaixo: 1.1 - DATA: Data de Início: 29Nov21-Qua às 14h00min (Saída de UBERLANDIA para ARAXÁ); 2 - Distância entre Uberlândia e Araxá: 180km. 2.1 - Tempo de deslocamento na ida: 3 horas (mínimo) 3 - Viatura: UAA28771 (3.189 litros de QAV disponíveis) 4 - Militares da 2ª BRAVE empenhados: 125.816-9 2º Sgt PM EAF Ferreira Edson Alves Ferreira 133.590-0 3º Sgt PM FRO Fausto Fausto Rodrigues de Oliveira. APOIO 02: 1. DADOS DA DILIGÊNCIA 1.1 Descrição: A equipe TASA 3ª BRAVE do COMAVE realizará o abastecimento das aeronaves CitationVII PT-MGS e Dauphin N3 PR-DTG do GMG que estará cumprindo missão de trasladodo Exmo. Governador do Estado de Minas Gerais e comitiva. 1.2 Natureza da Diligência: ( x ) Operacional ( ) Administrativa 1.3 Local de Saída Montes Claros/MG 1.3.1 Local de Destino: Janaúba/MG, Mato Verde/MG e Salinas/MG 1.4 Período INÍCIO - DATA: 29/12/2021 HORA: 04:00 TÉRMINO: - DATA: 30/12/2021 HORA: 10:00 Equipe; 137337-2, Cb PM Givanildo de Jesus Aguiar, CPF: 034.902.226-79 148520-0, Cb PM Charles Pereira de Carvalho, CPF: 058.996.536-04";01:05:00;PT-MGS - PT-MGS;0004-2022;DTA;2021-12-29;JANAUBA;ARAXA;Osvaldo de Souza Marques;Chefe;Gabinete Militar do Governador
