historico;horas_voadas;aernova;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo. Governador de Minas e Comitiva para Barbacena,  São João Del Rei,  Passos e Araxá.;00:42:00;PR-XAA - PEGASUS 23;0049-2025;EsAF;2025-04-23;BELO HORIZONTE;BARBACENA;Eric da Cruz Gonçalves;Assessor Especial;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva para Barbacena,  São João Del Rei,  Passos e Araxá.;00:42:00;PR-XAA - PEGASUS 23;0049-2025;EsAF;2025-04-23;BELO HORIZONTE;BARBACENA;José Silva Soares (Zé Silva);Deputado(a) Federal;Câmara dos Deputados
Traslado do Exmo. Governador de Minas e Comitiva para Barbacena,  São João Del Rei,  Passos e Araxá.;00:42:00;PR-XAA - PEGASUS 23;0049-2025;EsAF;2025-04-23;BELO HORIZONTE;BARBACENA;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva para Barbacena,  São João Del Rei,  Passos e Araxá.;00:42:00;PR-XAA - PEGASUS 23;0049-2025;EsAF;2025-04-23;BELO HORIZONTE;BARBACENA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Governador de Minas e Comitiva até a cidade de Barretos/SP.;01:18:00;PP-LCE - PÉGASUS 24;0105-2025;DTA;2025-08-23;BELO HORIZONTE;BARRETOS;Andre Valadares da Cruz;Videomaker;Secretaria de Estado de Comunicação Social
Traslado do Exmo Governador de Minas e Comitiva até a cidade de Barretos/SP.;01:18:00;PP-LCE - PÉGASUS 24;0105-2025;DTA;2025-08-23;BELO HORIZONTE;BARRETOS;Eric da Cruz Gonçalves;Assessor Especial;Secretaria de Estado de Comunicação Social
Traslado do Exmo Governador de Minas e Comitiva até a cidade de Barretos/SP.;01:18:00;PP-LCE - PÉGASUS 24;0105-2025;DTA;2025-08-23;BELO HORIZONTE;BARRETOS;Rafael Luiz Rebuiti Passos;Assessor de Imprensa;Secretaria de Estado de Comunicação Social
Traslado do Exmo Governador de Minas e Comitiva até a cidade de Barretos/SP.;01:18:00;PP-LCE - PÉGASUS 24;0105-2025;DTA;2025-08-23;BELO HORIZONTE;BARRETOS;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Governador de Minas e Comitiva até a cidade de Barretos/SP.;01:18:00;PP-LCE - PÉGASUS 24;0105-2025;DTA;2025-08-23;BELO HORIZONTE;BARRETOS;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Goiânia/GO e Araçuaí/MG;01:06:00;PP-LCE - PÉGASUS 24;0118-2025;DTA;2025-09-05;ARACUAI;BELO HORIZONTE;Andre Valadares da Cruz;Videomaker;Secretaria de Estado de Comunicação Social
